GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,Accuracy_regre_co2,Accuracy_regre_ch4,Accuracy_CL_co2,Accuracy_CL_ch4
15.895059812689663,26.38934063949489,56.568276695279415,1209.1082590659094,-0.523,0.334,37.715,43.35,3.441,2.041,7.483,5.362 
10.1906739944204,12.962718817021774,53.330119660234466,1029.8896212892214,0.879,0.569,13.57,22.91,5.282,2.041,15.366,7.203 
6.011035272870052,8.089512910511324,20.12169066914889,502.82044617966415,0.958,0.99,8.898,7.73,5.922,2.561,18.647,13.766 
2.8463263797671465,4.500041844463451,9.133523220945056,794.1493544669851,0.956,0.991,8.676,6.815,7.443,2.721,32.653,24.89 
2.468353410601918,3.948239744850441,8.88700804351083,314.49327619302596,0.976,0.989,7.194,9.341,10.044,2.601,44.538,24.53 
1.9152829340575896,3.3222330922577004,4.898435444832338,343.5911669848711,0.979,0.989,6.645,9.252,14.806,5.602,63.585,43.537 
1.5958452517938642,3.345988882408747,4.717889499795911,1296.155183779102,0.98,0.985,6.467,11.659,24.45,4.802,73.549,46.499 
1.3011592996486119,3.0523159830715083,4.567411272961714,1383.79404449232,0.978,0.991,6.752,10.117,31.853,8.243,91.076,62.025 
1.0773832448184069,2.399639179568038,4.3465238941472775,440.94258626745295,0.982,0.994,6.339,8.185,53.341,8.363,98.92,75.59 
0.970936976886246,2.4449117545968213,4.279509480849013,746.1898052439445,0.983,0.998,6.139,5.54,74.03,9.204,99.04,82.993 
0.9383957112766973,2.4081472636227255,3.6342840368727147,646.8692848822418,0.983,0.998,6.091,5.516,76.23,13.766,99.68,83.273 
0.9294311455498421,6.200480595430145,3.6047634983753274,10666.423017078721,0.983,0.998,6.05,5.418,76.871,15.046,99.68,83.553 
0.9338896660980435,4.149600730928322,2.826324115128402,5603.653825273014,0.987,0.998,5.589,5.417,76.15,16.006,99.92,84.394 
0.9197004775852736,2.2713760963587886,2.806104763533875,918.8066647989772,0.987,0.998,5.608,5.424,77.751,16.287,99.92,85.274 
0.8834079140142923,1.8300787937189054,2.7935019403818777,266.1514752774389,0.987,0.998,5.605,5.508,82.073,17.287,99.92,88.435 
0.8720162236325893,1.823392530228362,1.6509485527894128,265.12352888882907,0.987,0.998,5.544,5.491,83.153,17.807,100.0,88.435 
0.8393423056187651,1.7727618595160586,1.642634334655662,263.0713065545319,0.987,0.999,5.474,5.31,86.915,25.65,100.0,88.555 
0.831979114309275,1.7629528936816057,1.6394894467856518,271.52445325878375,0.987,0.999,5.543,5.316,88.075,26.291,100.0,88.635 
0.8268918150094784,2.0978577089821067,1.6374553592056802,621.5290953443889,0.987,0.999,5.467,5.244,88.595,26.291,100.0,88.876 
0.7896005136485473,2.084375507808538,1.6438448273405175,666.1162696883027,0.986,0.999,5.336,5.246,96.679,34.214,100.0,88.836 
0.7748512439137791,1.9337463165033508,1.6439547349708545,607.2270655296613,0.986,0.999,5.263,5.417,96.679,34.254,100.0,90.396 
