Index,GP_1,GP_2,RE_m_1,RE_m_2,R2_1,R2_2,MRE_1,MRE_2,RGR_1,RGR_2,CLR_1,CLR_2
1,1.0601071989472663,1.849937329026659,2.536595244004496,203.26450730792095,0.997572,0.9989580000000001,1.392566,1.8513979999999999,62.078096,29.23274,94.27820999999999,82.309102
2,2.616669411767143,5.445191854351955,5.556788722291716,760.7859578512858,0.99705,0.99938,1.694124,2.237946,9.80568,4.895158,39.352540000000005,14.299556
3,0.9189941509591242,2.3617251321971384,2.756733795706059,2250.4821790526066,0.9943700000000001,0.9973979999999999,1.69361,1.9800079999999998,72.492988,58.455558,91.342394,86.92050599999999
4,2.5585979871450175,5.203485732967348,4.803207322244471,1721.4745727169197,0.9844859999999999,0.998552,4.1362939999999995,3.659444,9.354186000000002,4.25464,33.513888,14.259714
5,1.8040390148031198,3.4757647855037077,3.7892624711036187,244.08906585501984,0.997216,0.9995899999999999,1.6694099999999998,2.086702,10.87409,5.830776,67.397788,32.916348
6,1.7914021855834066,2.8660107249075537,3.7778124659687538,1048.9719439180749,0.9894720000000001,0.999546,2.57019,2.048248,26.261144,22.886830000000003,66.26394400000001,64.27505
7,1.759325762068684,3.4300569072705143,3.7025710133708736,243.01778026608835,0.9973319999999999,0.9995539999999999,1.6744400000000002,2.0920880000000004,11.639614,5.988358,68.83204400000001,35.374146
8,2.6378428910950436,5.5265812337000515,5.6086118045282385,793.6613855954174,0.9971559999999999,0.999404,1.686404,2.23333,9.81168,4.88435,38.588713999999996,14.441049999999999
9,1.7785088215270461,3.415458526470724,3.7292310549842984,237.32569712671474,0.997204,0.9995040000000001,1.7047219999999998,2.1288540000000005,11.321308,5.969074000000001,70.06188800000001,37.75703
10,2.1059676197200705,4.808189402785054,4.199329375081977,3503.4314372197146,0.985328,0.99848,3.3221519999999995,2.8930879999999997,14.4712,16.390102,53.485150000000004,49.56336
11,1.7770823804231373,3.419596292137614,3.7243278944450795,237.7924473780492,0.997204,0.9994959999999999,1.7028580000000002,2.127196,11.325482,5.968196,70.21267000000002,37.743261999999994
12,0.8979498266758092,1.9946803796196408,2.3715894232063035,181.7959309925408,0.9964480000000001,0.99837,1.3730239999999998,1.8825180000000001,78.13301400000002,55.710274,95.58263799999999,84.53168600000001
