Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
400000.098,300,0.32,0.68,409.6927429222,107.7052142971,2.0846616708,0.3613511549
400000.098,300,0.34,0.66,429.5176001609,103.6445143308,2.3657631689,0.5110450929
400000.098,300,0.36,0.64,449.4327268917,99.7226645075,1.2242658416,0.3910343156
400000.098,300,0.38,0.62,468.1630902800,95.8447486843,1.3284291586,0.6578847696
400000.098,300,0.4,0.6,485.8745778144,92.1270698745,2.1455751381,0.5611829772
400000.098,300,0.42,0.58,505.1897800670,88.3936842700,1.2489767271,0.3720352851
400000.098,300,0.44,0.56,523.2206430722,84.4317102535,1.5260414189,0.2827742428
400000.098,300,0.46,0.54,540.5360789759,80.9536163436,1.0028597591,0.4249601097
400000.098,300,0.48,0.52,557.6788171588,77.3287409656,1.5733913392,0.3616826051
400000.098,300,0.5,0.5,575.0286569446,73.7371494457,1.4451118514,0.2414720887
400000.098,300,0.52,0.48,591.1186580395,70.3088774194,1.9708006728,0.4077098069
400000.098,300,0.54,0.46,607.6396030305,66.6756377835,0.4917083185,0.1834829800
400000.098,300,0.56,0.44,622.6407809464,63.2786234907,1.5272610098,0.3969117812
400000.098,300,0.58,0.42,637.8535101787,59.7916284867,0.8075656477,0.3038189773
400000.098,300,0.6,0.4,653.1136125799,56.6529017822,1.8647021668,0.1970836584
400000.098,300,0.62,0.38,668.1014413554,53.3947029978,2.0328432508,0.3591690329
400000.098,300,0.64,0.36,682.0806503240,50.1357249347,1.7283288577,0.1904693914
400000.098,300,0.66,0.34,695.9503800618,46.9252526400,2.6909973962,0.2231810865
400000.098,300,0.68,0.32,710.2010215517,43.9058594769,3.2016133923,0.0952072550
400000.098,300,0.7,0.3,723.3887241715,40.7048424301,2.2000068413,0.1206404482
400000.098,300,0.72,0.28,735.1785927180,37.6645472812,2.3118797963,0.1142876147
400000.098,300,0.74,0.26,748.7676649188,34.7343901853,2.2206846754,0.1950390246
400000.098,300,0.76,0.24,760.9037157465,31.8258624021,1.8586233698,0.1679114438
400000.098,300,0.78,0.22,772.5303286472,28.9291450201,3.4439900837,0.1039863021
400000.098,300,0.8,0.2,783.2705531992,26.0964497108,2.4301727599,0.1017989784
400000.098,300,0.82,0.18,795.8080278727,23.2929686933,1.9476544458,0.0923027180
400000.098,300,0.84,0.16,807.1404170368,20.5600556893,1.7564057408,0.0995124673
400000.098,300,0.86,0.14,819.1749926915,17.8770857899,1.6026870711,0.1315629670
400000.098,300,0.88,0.12,829.4870408522,15.1844528348,2.2810137896,0.0452700426
400000.098,300,0.9,0.1,840.2840263833,12.5473045216,1.8624403497,0.0565635849
400000.098,300,0.92,0.08,849.6436730680,9.9942836710,1.3771036371,0.0458828953
400000.098,300,0.94,0.06,859.9306780242,7.4101955771,2.0886052434,0.0203218691
400000.098,300,0.96,0.04,869.2894293398,4.9079490615,2.8518440613,0.0216400068
400000.098,300,0.98,0.02,878.7900831030,2.4412203364,2.3683107758,0.0233656575
800000.096,300,0.02,0.98,62.1256513073,334.0971514253,0.4635185424,1.5657272306
800000.096,300,0.04,0.96,115.5618804543,316.1131139663,0.7515574936,1.6645024015
800000.096,300,0.06,0.94,163.7087840438,301.3691094399,0.6084893195,0.9018184486
800000.096,300,0.08,0.92,209.1299668121,288.1502398714,0.4453079455,0.8339011876
800000.096,300,0.1,0.9,250.8662170510,276.4922308590,1.4368895689,0.8580170805
800000.096,300,0.12,0.88,290.8666177878,264.7389939922,1.4421257607,0.4423519509
800000.096,300,0.14,0.86,328.8341506486,254.3860170048,1.3420558327,0.6643924015
800000.096,300,0.16,0.84,365.4059386311,244.1834408020,0.8063019495,0.5516799410
800000.096,300,0.18,0.82,401.4469626208,234.3938822982,1.5504372020,1.1515254374
800000.096,300,0.2,0.8,434.8602680151,224.5600607655,0.8592058897,0.9445809242
800000.096,300,0.22,0.78,467.8779287646,215.8440365676,3.1087616802,1.2726171425
800000.096,300,0.24,0.76,497.3924711917,206.0850257879,1.3120162248,0.9608813623
800000.096,300,0.26,0.74,526.8821060763,198.0619361898,1.5528949447,0.4865451249
800000.096,300,0.28,0.72,555.1081579988,189.7505134811,1.4384275077,0.9390738931
800000.096,300,0.3,0.7,581.6464932954,181.2237847325,2.1477647527,0.5742702221
800000.096,300,0.32,0.68,608.1615489934,173.2899485189,1.7818237892,0.4062056815
800000.096,300,0.34,0.66,632.6876913023,165.6498657321,1.3110781185,0.9963533563
800000.096,300,0.36,0.64,656.7594201897,158.1767737071,2.2804831150,0.5740930156
800000.096,300,0.38,0.62,679.9164345037,151.0051066745,0.7667364191,0.9024959932
800000.096,300,0.4,0.6,702.5656659670,143.6379619151,2.9252926952,0.8602214955
800000.096,300,0.42,0.58,723.5656816789,137.0717770974,2.2203349344,0.6062672571
800000.096,300,0.44,0.56,742.9623625262,130.3356229416,2.1788902163,0.1598483999
800000.096,300,0.46,0.54,762.6333519292,124.1465224173,1.0598671906,0.5088625499
800000.096,300,0.48,0.52,782.4277394836,117.6138465828,1.9418616382,0.5677598989
800000.096,300,0.5,0.5,799.1115873993,111.6674827078,2.7151243539,0.6394585936
800000.096,300,0.52,0.48,817.6501247254,105.4875084026,1.0827994600,0.1309662440
800000.096,300,0.54,0.46,833.7853826621,99.7396354654,1.4885906924,0.6890378093
800000.096,300,0.56,0.44,849.4386606598,94.1647797118,1.4701497786,0.7852817356
800000.096,300,0.58,0.42,865.0064444678,88.6593490297,2.1556718337,0.5379153188
800000.096,300,0.6,0.4,881.0671154391,83.5287167568,1.2172013094,0.2856833904
800000.096,300,0.62,0.38,894.8216138777,78.2170147539,2.2696465912,0.2167450143
800000.096,300,0.64,0.36,908.7417556132,73.2261850757,1.2795906335,0.1037469605
800000.096,300,0.66,0.34,921.2801256558,68.2931432407,1.5979346850,0.1266118483
800000.096,300,0.68,0.32,935.4135551813,63.5715456869,2.1421193360,0.1367004939
800000.096,300,0.7,0.3,947.2669678067,58.9088096491,1.6247295255,0.3653921651
800000.096,300,0.72,0.28,960.6352365430,54.1677993976,1.1573544160,0.2268389300
800000.096,300,0.74,0.26,971.0894313429,49.7920284034,2.3251903644,0.2846947577
800000.096,300,0.76,0.24,982.5522188174,45.4600528709,1.0739667288,0.3065800556
800000.096,300,0.78,0.22,994.8525563221,41.2667023564,2.4141351765,0.1386557499
800000.096,300,0.8,0.2,1004.2966661655,37.0460944056,1.0559822822,0.3159088751
800000.096,300,0.82,0.18,1015.0986983228,32.8859757974,2.3576415992,0.1697143284
800000.096,300,0.84,0.16,1024.8937657496,29.0167705780,2.1426438728,0.0942884438
800000.096,300,0.86,0.14,1035.4521218299,25.0888943330,0.8611431459,0.0812946184
800000.096,300,0.88,0.12,1044.3227341519,21.3231426874,1.3540690205,0.0974077027
800000.096,300,0.9,0.1,1054.1305809386,17.5824838152,0.7424327063,0.0731537197
800000.096,300,0.92,0.08,1063.4142840381,13.9483609969,1.0516628599,0.0581921814
800000.096,300,0.94,0.06,1073.0389057331,10.3559728811,1.4377681821,0.1031274515
800000.096,300,0.96,0.04,1081.2315065321,6.8242992329,1.6103080182,0.0214744065
800000.096,300,0.98,0.02,1089.3871258710,3.3897063905,1.9110316861,0.0247705011
1200000.094,300,0.02,0.98,75.9942143520,446.5647628443,0.2633568223,0.6616407737
1200000.094,300,0.04,0.96,142.2879719531,421.6288668917,1.2331912648,1.2364788654
1200000.094,300,0.06,0.94,201.6537970134,401.1760226311,1.5408620582,1.9305139314
1200000.094,300,0.08,0.92,256.9400487982,382.0991593896,1.4280260700,1.9901384123
1200000.094,300,0.1,0.9,309.0015335438,363.6385670435,1.0700687330,1.3836301289
1200000.094,300,0.12,0.88,356.7167877948,346.2512319264,1.4245035316,2.4126869594
1200000.094,300,0.14,0.86,401.9514353187,330.1707644684,2.4097225732,1.0800747020
1200000.094,300,0.16,0.84,444.5780081042,314.7153824134,1.5266632891,0.8278644733
