GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
1.4262452888518884,20.990262019728195,6.8961362071783885,3715.269395067591,0.965,0.983,8.093,11.325,89.453,5.313,99.961,13.656 
1.3843370125801993,19.091659412630854,6.770431620062936,1522.596490085336,0.965,0.974,8.112,12.754,90.437,5.51,99.961,14.246 
1.3885154058415932,18.717297208008283,6.8126945981011975,1451.431341174621,0.965,0.974,8.12,12.707,90.201,5.667,99.961,15.466 
1.348717426118991,17.148800982002722,6.896334550134307,1550.4112899415504,0.979,0.974,7.041,12.752,90.752,5.706,99.961,16.175 
1.3209990102235192,17.55358581678851,6.782519554479931,4337.939493248999,0.979,0.98,7.127,11.916,92.641,6.1,99.961,18.103 
1.308834046039931,15.951964223900701,6.741847034048795,1359.7398541109403,0.981,0.972,6.858,12.921,92.601,6.69,99.961,19.52 
1.2444440595611077,19.347442193987696,6.720276039011083,10944.401328026697,0.978,0.979,7.061,11.777,94.333,6.966,99.961,21.999 
1.2194968874755545,14.581635602470978,6.674716068097906,3339.347840475355,0.978,0.976,7.052,11.631,94.648,7.163,99.961,23.101 
1.2110153989825703,14.090774862093978,6.6702486798164955,2822.402269511952,0.979,0.984,6.996,10.93,94.766,7.792,99.961,23.928 
1.3548196530304049,14.53564848714084,7.826135829466743,2535.0010433784087,0.979,0.985,6.91,11.134,90.476,8.068,99.921,23.455 
1.317515745759026,13.32750203628295,7.093862201067065,2062.856823276311,0.978,0.987,7.075,10.58,92.168,8.697,99.921,26.013 
1.4089960900594618,13.196961348668882,7.809828491824962,1983.6394339764815,0.978,0.987,6.948,10.571,89.138,9.248,99.764,26.682 
1.3200857240053454,12.642458555192157,7.684792362503081,2100.900165495382,0.979,0.987,6.728,10.441,92.523,9.681,99.921,31.641 
1.2547798306511635,18.27602807770861,7.66191413325482,17804.605027253037,0.979,0.979,6.738,11.362,94.254,9.839,99.921,33.018 
1.2799152483450702,19.42720997030452,7.8991016662424975,20863.357603181386,0.978,0.978,6.811,11.385,93.664,10.075,99.921,33.018 
1.4685862007665826,78.07025853090313,9.694045647490675,169089.9578887415,0.98,0.979,6.445,11.412,85.911,10.035,99.882,31.68 
1.4158533475674258,11.558026852706831,9.588573397488107,2908.5518483888927,0.981,0.977,6.408,11.7,88.705,10.153,99.882,32.9 
1.3948927968175264,11.120316792080837,5.3684822863758965,2052.2285022438277,0.981,0.98,6.265,11.771,89.689,10.508,99.961,34.002 
1.3278824027113132,10.352983540012794,5.151177665441618,2069.2278373990594,0.982,0.988,6.203,10.272,92.483,11.059,99.961,39.355 
1.3089437469038099,9.325725743346547,5.111794766091857,1522.6970679700673,0.981,0.988,6.322,10.047,93.074,11.098,99.961,40.614 
1.2696454182892987,8.749922855088313,5.062228444630498,1113.5855213285067,0.981,0.989,6.319,9.921,93.467,11.492,99.961,43.762 
1.263145919464231,8.158298030489252,5.053993459513905,600.8978123424018,0.982,0.989,6.272,9.888,93.546,11.924,99.961,45.179 
1.2265731328693752,7.880090840904946,5.0301067262887695,592.7021225278247,0.982,0.989,6.243,9.873,95.081,12.908,99.961,50.138 
1.20687623266332,7.6497817457090225,4.8929725083913915,539.2573182355884,0.982,0.99,6.155,9.974,95.671,13.184,100.0,51.594 
1.1979757458508251,7.378059179352783,4.863053144738174,780.4436208594265,0.981,0.991,6.297,9.679,95.828,13.735,100.0,53.837 
1.2416161498013354,7.234886490091265,5.1370240703027115,778.5928797164954,0.983,0.991,6.079,9.671,94.884,14.679,99.961,55.333 
1.1977427294022882,6.9620202323882285,5.129561322496605,811.7287021787512,0.982,0.991,6.087,9.67,96.065,16.175,99.961,59.74 
1.1605325035868945,6.493167477605393,5.105537501912863,798.2798282947989,0.982,0.991,6.148,9.741,96.143,16.883,99.961,66.667 
1.138916927360437,6.352396097895825,5.116136938416767,742.3497580534074,0.983,0.991,6.041,9.974,96.93,18.693,99.961,68.359 
1.0963677571486175,6.21610782453158,5.09190454430252,585.1463924464686,0.983,0.992,6.023,8.748,97.088,19.874,99.961,75.443 
1.0855824914480723,6.411475817929449,5.055141108567566,1137.5125695049612,0.983,0.987,6.029,9.105,97.088,20.307,99.961,76.348 
1.0688605591894071,6.217033274692258,5.054049570661335,837.8956362676016,0.984,0.99,5.949,8.926,97.088,22.471,99.961,77.804 
1.0401548086786858,6.030751935488635,4.789040257943398,968.9443538511821,0.985,0.992,5.826,8.724,97.835,27.037,100.0,80.519 
1.0252752125858775,6.544955396896469,4.76724439459925,1657.0955305939815,0.984,0.992,5.887,9.234,97.875,27.588,100.0,81.621 
1.0079109362728635,6.347129262498219,4.482158658001559,1407.0230845042686,0.985,0.992,5.764,9.048,98.032,28.965,100.0,82.802 
0.9965612179192682,6.101237881406116,4.476739906495882,1196.3450215226997,0.985,0.991,5.761,9.25,98.308,30.146,100.0,82.999 
0.9880353991833681,5.520676498529228,4.469909593384307,2022.6370690983156,0.985,0.992,5.711,8.761,98.308,30.539,100.0,84.101 
0.9559818587321657,4.588686325275428,4.453658527079353,1325.7750422244121,0.985,0.992,5.79,8.507,98.465,34.514,100.0,86.501 
0.9479004691537488,5.6337321048744355,4.402644080519577,851.1598553944559,0.985,0.992,5.816,8.552,98.583,22.55,100.0,78.867 
0.9346795034282775,5.482820169317808,3.854070752449496,867.6803365542994,0.982,0.992,6.524,8.429,99.292,24.715,100.0,80.598 
0.9525562084622001,5.460351875158562,3.955460027642737,876.5306158186581,0.983,0.992,6.381,8.415,99.174,25.069,100.0,80.756 
0.9264185841100194,4.644071381691814,3.9680447400325476,1195.6303753937136,0.986,0.992,5.977,8.737,99.174,25.502,100.0,84.494 
