GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
24.810507547819384,47.4791757777246,364.78828130830755,359.070490004589,0.871,0.921,18.787,21.424,4.565,2.597,8.658,5.155 
22.98509101991197,44.82336280774046,445.71261811588624,389.37872121810494,0.822,0.946,21.412,18.571,4.604,2.637,8.855,5.234 
20.37513612173692,43.22225714849805,364.15113291056997,390.51908905423176,0.928,0.952,13.268,17.381,4.644,2.676,9.052,5.274 
19.54237928373466,43.18887027705772,99.99662729108874,390.1726938406265,0.928,0.952,12.29,17.512,4.683,2.715,9.13,5.313 
19.37987563160896,42.962618592355334,78.88377407151508,389.38779393138765,0.853,0.952,16.928,17.28,4.723,2.755,9.091,5.352 
15.827752224094931,38.07904944715889,78.64307849980848,391.3716607440614,0.875,0.939,15.343,15.149,4.841,2.834,9.721,5.51 
15.443521991246264,37.714141831865554,52.43827403292036,359.5732018851636,0.929,0.95,12.3,16.972,4.919,2.873,9.839,5.549 
14.167027680650254,36.44980334688143,51.23541885778163,390.5128072273075,0.927,0.979,12.657,13.547,5.037,2.991,10.272,5.785 
13.278817441406444,33.7604680438485,51.07880291142646,360.3365044879598,0.927,0.964,12.483,15.478,5.234,3.07,11.334,5.903 
12.7578649518926,32.89562934158977,50.86491862044451,390.10345583256714,0.929,0.98,12.462,12.827,5.313,3.109,12.161,6.1 
11.494090733295058,30.524896228205723,48.91854249645496,418.9000618134328,0.917,0.984,13.332,10.006,5.352,3.148,12.987,6.218 
10.605926073592865,29.345305978169566,39.29661440637015,392.56554454691894,0.931,0.979,11.641,10.466,5.549,3.188,13.341,6.415 
8.556628723108947,26.166913404653624,39.11096149525949,393.2280911621211,0.969,0.978,7.962,10.644,6.061,3.266,16.647,6.769 
7.559555658747516,22.950911370591783,38.919538373058124,378.0929914303698,0.971,0.978,7.688,10.68,6.651,3.306,21.566,7.005 
7.409865961754694,22.87490120121316,35.87438038430445,393.48704179544427,0.971,0.988,7.807,9.177,6.73,3.345,22.353,7.084 
7.3689054347354705,22.706172179956152,36.863436541620054,379.5429153879332,0.952,0.979,8.933,10.61,6.808,3.384,22.904,7.084 
6.903444988499948,21.57478448721224,35.422834792967,377.2322762307589,0.971,0.979,7.575,10.546,6.966,3.424,25.817,7.359 
6.571001642971654,21.203178444296924,35.2427119469852,391.90031327673836,0.984,0.987,6.574,9.252,7.753,3.896,28.532,8.107 
6.226793305816818,20.20566033397638,34.95264203582142,389.65424582788563,0.984,0.987,6.577,9.215,8.225,4.132,34.042,8.422 
6.0789820788679805,19.762641446567205,35.86703022441867,387.4209521373063,0.978,0.987,7.315,9.279,9.17,4.329,35.97,8.855 
5.787121628897757,18.688572372370672,34.52080583089716,159.90960300343224,0.985,0.987,6.369,9.388,10.39,4.368,39.787,9.17 
5.494543465981953,18.161257424199935,34.2733831492152,160.39299160848194,0.983,0.982,6.704,10.616,10.862,4.723,43.133,9.406 
5.268833614104628,17.78279215291912,35.18330965980372,159.36338866182265,0.977,0.987,7.327,9.243,11.492,4.998,45.769,9.917 
5.14943003226992,17.655261501354676,34.273468985350455,159.10648709084668,0.983,0.988,6.686,9.222,12.357,5.037,47.855,10.429 
4.82781464226049,16.86827687792154,34.90809332682225,160.1791756778346,0.977,0.983,7.003,10.327,12.712,5.155,52.263,10.704 
4.36396121090002,15.57830325533551,33.75223698232681,147.08761118753407,0.985,0.989,6.294,9.074,14.601,5.47,63.361,11.137 
4.043320262203593,14.774539092614416,33.49024197797112,147.555167238161,0.984,0.986,6.365,8.828,16.057,5.746,72.334,11.61 
3.882130688048667,14.256519058091111,33.2032490198594,143.43476864043444,0.984,0.984,6.466,9.577,17.316,6.179,76.348,12.121 
3.524751339119287,13.360451785271827,32.931496312793755,142.97500614534445,0.985,0.988,6.11,9.143,20.504,6.297,83.55,12.672 
3.4993370519968847,13.26383531573802,31.465072695128338,143.2799204214183,0.982,0.988,6.495,8.442,20.897,6.336,83.747,13.105 
3.363133437188763,12.664029557385769,30.286197033785022,116.92492877973729,0.985,0.988,6.143,9.131,22.904,6.454,85.99,13.341 
3.356573358183067,12.57860209157777,26.513832416864158,117.3263940087864,0.982,0.988,6.332,8.431,22.629,6.494,85.714,13.853 
3.0915993598174887,11.564095064541384,25.744024642393587,116.51034153059874,0.986,0.988,5.865,8.372,28.335,6.572,88.863,14.561 
2.8346487310770323,10.92925188969748,26.055877491563113,115.2110842570011,0.984,0.989,6.143,8.896,31.72,6.769,93.152,15.309 
2.706083622567308,10.636394921407751,25.309323101734982,114.40717299870083,0.983,0.987,6.109,9.084,35.498,6.808,94.018,16.372 
2.6449072993456944,10.292955047492397,25.050658446137987,108.52662861393793,0.984,0.986,6.069,8.592,37.466,6.848,94.372,16.804 
2.6130672640386967,10.208522032530656,24.130124086261887,107.33440223633389,0.982,0.987,6.335,9.073,37.387,6.926,94.608,17.277 
2.403699516133102,9.369846644789407,24.07856693821507,87.58812645048093,0.985,0.986,6.023,8.165,44.195,7.044,95.396,18.142 
2.2043379236458036,8.972689064124806,24.006734940093306,88.24717869920028,0.984,0.988,6.021,8.352,51.2,7.32,97.285,21.212 
