GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,Accuracy_regre_co2,Accuracy_regre_ch4,Accuracy_CL_co2,Accuracy_CL_ch4
5.211274638189451,5.039924200707092,16.154489964550237,25.907299244390263,0.901,0.958,14.93,13.013,4.242,6.202,16.166,19.368 
4.045103495247683,4.224030204083529,15.729052773597719,25.35015926320684,0.692,0.993,22.467,10.124,4.402,9.844,21.969,35.494 
3.259194834907297,2.79177281499075,15.530680347540175,23.428857975498715,0.753,0.99,19.944,11.867,5.322,10.084,32.853,40.976 
2.3884017367200765,1.9507437749652963,15.402234381900106,23.067569899668918,0.895,0.992,13.586,10.34,6.242,13.165,46.819,63.705 
2.237437709439612,1.7835696796269402,15.1481783852762,19.287087217587604,0.893,0.992,13.824,9.904,6.763,14.006,50.98,67.987 
2.1359195958654142,1.7110837957438363,6.192089365415007,18.77914711386708,0.887,0.993,13.947,9.693,7.003,16.607,53.461,71.228 
1.9987503758799248,1.6112593946488731,5.27571083149772,18.507775569277715,0.904,0.993,13.147,9.557,7.643,18.808,57.343,77.471 
1.9269788890021204,1.521335105678957,5.182826900390148,6.2211180318553625,0.903,0.993,13.055,9.738,8.483,19.768,59.984,80.992 
1.627180553154268,1.4193708021775697,5.068581886937766,6.66440772001309,0.904,0.995,13.021,7.553,12.645,18.687,77.471,88.275 
1.4656784580207787,1.2607614452479718,5.343232215749284,6.530333344135129,0.982,0.995,7.149,7.594,12.645,36.655,90.396,91.557 
