GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
3.3107938628372553,4.619477128931971,26.662311082999846,34.37561350280706,0.976,0.984,9.105,12.78,18.693,12.869,90.712,70.445 
3.2455753289322438,4.493721515254207,26.826178483500936,28.883152549696906,0.973,0.984,9.42,12.787,19.087,13.105,91.303,72.491 
3.198813213834015,4.493962138911963,26.561707293653885,28.924606579779883,0.973,0.984,9.412,12.755,19.756,13.144,91.617,72.412 
3.1821884547687973,4.480619687739001,26.538342048855064,28.901381404442507,0.973,0.984,9.374,12.748,19.835,13.341,91.775,72.649 
3.16173257230925,4.390103802851106,24.6316923259038,28.84591842595805,0.968,0.983,9.084,12.939,19.441,13.459,92.326,75.718 
3.081485531197928,4.229450399919309,24.445018400292327,27.940114295694503,0.972,0.984,8.857,12.763,21.291,13.538,92.405,77.017 
2.9366944820386696,4.11615847273948,24.141700039994692,27.70762677307925,0.972,0.984,8.776,12.768,21.842,14.64,94.49,78.827 
2.8371956094638304,3.8876493749468484,23.892557466046334,26.985122868558847,0.972,0.984,8.788,12.75,24.36,14.915,94.805,81.228 
2.818592466621676,3.8272031483726723,23.832979978792654,26.753569719865755,0.973,0.984,8.61,12.756,24.675,15.545,94.884,82.409 
2.6576165607041218,3.6430317235861054,23.629322229644334,26.963323280347495,0.974,0.986,8.379,11.575,29.359,16.45,95.396,85.754 
2.605106902515912,3.6096175650890694,23.366200497445657,27.097890048535263,0.976,0.987,8.221,11.593,30.775,16.608,95.553,86.423 
2.5222507424944003,3.5521301041877065,14.299545072882125,26.849483407153684,0.976,0.987,8.226,11.592,32.035,17.237,96.183,87.17 
2.4754329635845935,3.5061790952312486,14.127964997000547,26.649417908804914,0.975,0.987,8.276,11.585,33.255,17.434,96.812,87.643 
2.499131690128892,3.475019726931637,14.232791108216425,26.461343272119244,0.975,0.987,8.299,11.593,32.31,18.103,96.458,87.879 
2.4586694171044687,3.419687724476721,14.120942807659883,26.22252685216344,0.976,0.987,8.276,11.535,34.396,18.418,96.734,88.705 
2.393691431450722,3.3638082450831606,13.981722269785434,26.122763574483848,0.976,0.987,8.276,11.528,36.954,19.677,96.852,88.981 
2.5469567585004675,3.331673570281812,14.709756662312671,25.914451557208864,0.976,0.987,8.318,11.529,31.326,20.307,96.065,89.217 
2.430202437807035,3.2170181220744642,14.556413610684904,26.040218450844645,0.977,0.988,8.219,11.509,36.206,21.566,96.261,89.61 
2.351747004430926,3.137938356391794,13.811849937302705,25.60044750156583,0.976,0.986,8.276,11.682,38.646,22.747,96.576,90.043 
