Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
10,200,0.8,0.2,52.3348436672,0.0723516959,1.0485080707,0.0018670592
10,200,0.98,0.02,56.2641034512,0.0065459409,1.2493053801,0.0018573969
10,300,0.02,0.98,0.0050194938,0.0118104013,0.0007863716,0.0011360996
10,300,0.2,0.8,0.0492453045,0.0086240174,0.0048017448,0.0011466095
10,300,0.4,0.6,0.0956959719,0.0068403351,0.0092100009,0.0008122536
10,300,0.6,0.4,0.1469219415,0.0044159125,0.0094348993,0.0005476212
10,300,0.8,0.2,0.1968726884,0.0020607592,0.0143810930,0.0004824043
10,300,0.98,0.02,0.2407729103,0.0001558557,0.0116957951,0.0001295908
10,400,0.02,0.98,0.0003527212,0.0018529515,0.0002766973,0.0004594800
10,400,0.2,0.8,0.0025233131,0.0016105093,0.0008511101,0.0004723531
10,400,0.4,0.6,0.0061861870,0.0011083075,0.0006556841,0.0008991667
10,400,0.6,0.4,0.0078955282,0.0004675672,0.0016935486,0.0003211881
10,400,0.8,0.2,0.0104731061,0.0004156153,0.0027154096,0.0005066606
10,400,0.98,0.02,0.0132134784,0.0000173173,0.0040229215,0.0000692692
1000,200,0.02,0.98,56.3287599584,19.1588606756,0.4188380926,0.1823752887
1000,200,0.2,0.8,109.6418351456,7.2237228482,1.7961259347,0.0869459321
1000,200,0.4,0.6,135.8538762096,4.8929695936,0.8282190443,0.0543972435
1000,200,0.6,0.4,159.2505781379,3.1502773462,1.3201167213,0.0394740337
1000,200,0.8,0.2,183.7799763347,1.5639257188,1.0031109814,0.0382948205
1000,200,0.98,0.02,205.3632843640,0.1550245049,2.9379836557,0.0096639866
1000,300,0.02,0.98,0.4926972366,1.1358073308,0.0160291638,0.0284376496
1000,300,0.2,0.8,4.7236964318,0.9083791782,0.1147241259,0.0223601200
1000,300,0.4,0.6,9.0585313187,0.6627159045,0.2086524471,0.0123841851
1000,300,0.6,0.4,13.2801427037,0.4277027727,0.3578656113,0.0146585019
1000,300,0.8,0.2,17.1654751334,0.2113750119,0.3835059346,0.0040173159
1000,300,0.98,0.02,20.3339153121,0.0205902744,0.5569042838,0.0031542222
1000,400,0.02,0.98,0.0272680612,0.1873732286,0.0030696806,0.0096921223
1000,400,0.2,0.8,0.2626958888,0.1508337173,0.0076868534,0.0046788779
1000,400,0.4,0.6,0.5217560362,0.1132378505,0.0147226708,0.0032144947
1000,400,0.6,0.4,0.7755524981,0.0741700128,0.0280472900,0.0035567567
1000,400,0.8,0.2,1.0340699974,0.0371802516,0.0222516112,0.0014263405
1000,400,0.98,0.02,1.2626333281,0.0038790761,0.0232120173,0.0016074339
100000,200,0.02,0.98,289.1474547111,605.3939486601,1.2108606127,2.2328116953
100000,200,0.2,0.8,1062.6852093398,272.3048201798,3.7898789493,0.9820033077
100000,200,0.4,0.6,1293.6108223372,156.3785621833,3.1040372510,2.8456139997
100000,200,0.6,0.4,1425.5036395910,91.1288831581,7.2714705584,1.3014766363
100000,200,0.8,0.2,1520.2587141480,41.9571778991,10.9043510556,0.6722442097
100000,200,0.98,0.02,1588.4815581982,3.9829972235,14.3257477548,0.1464191883
100000,300,0.02,0.98,21.8690664575,68.8555226862,0.2262411055,0.1956967337
100000,300,0.2,0.8,122.7083916030,42.4605226554,0.7679829033,0.2581929434
100000,300,0.4,0.6,189.9878963986,28.6925733310,0.5542488027,0.2055743737
100000,300,0.6,0.4,249.2875455373,18.1813335028,1.5940452353,0.1098671998
100000,300,0.8,0.2,306.7138924396,8.8598444072,2.1421102000,0.0379868552
100000,300,0.98,0.02,357.9170166048,0.8805675880,0.8470309933,0.0122840122
100000,400,0.02,0.98,2.3874069359,17.5072747642,0.0455188836,0.1482858804
100000,400,0.2,0.8,22.5684854434,13.7622172969,0.2518953820,0.0902077229
100000,400,0.4,0.6,42.1974467601,9.9214470906,0.2824233104,0.0672947312
100000,400,0.6,0.4,59.9985526090,6.4075063616,0.4963486636,0.0229092681
100000,400,0.8,0.2,76.6952612819,3.1251153036,0.4542686901,0.0381824522
100000,400,0.98,0.02,90.5178891748,0.3018579250,1.1003641812,0.0070593454
10000000,200,0.02,0.98,96.0552048607,1494.2444897663,2.6808887363,1.8964283825
10000000,200,0.2,0.8,593.6674213533,1129.2356737312,1.1820865935,3.4048137730
10000000,200,0.4,0.6,923.3864952011,883.6714723342,5.5417970869,4.3783516154
10000000,200,0.6,0.4,1208.7190260584,664.6964498970,4.1355382385,3.5904588568
10000000,200,0.8,0.2,1529.4625394642,405.7006185353,5.3014754182,8.0094954472
10000000,200,0.98,0.02,1922.7887750115,57.1663252094,12.6590093718,1.1036669277
10000000,300,0.02,0.98,92.3861990497,1064.3459348684,1.0132967581,2.3810311225
10000000,300,0.2,0.8,617.6854552228,688.5763712900,2.9158650625,2.9177722539
10000000,300,0.4,0.6,926.2203115007,454.7868282647,3.2819707295,3.5882223717
10000000,300,0.6,0.4,1128.7340699060,290.8359632222,3.2353734373,2.5904618430
10000000,300,0.8,0.2,1286.8528200123,152.8058292074,1.7692591122,1.0144910571
10000000,300,0.98,0.02,1427.9433577926,16.5961594520,3.3502111653,0.2311638274
10000000,400,0.02,0.98,49.5610171022,631.3234768782,0.2698509037,1.4136125099
10000000,400,0.2,0.8,395.8668320090,437.0436745035,1.4838269041,1.3313806296
10000000,400,0.4,0.6,657.4173266049,286.3232816231,1.8635754440,0.8926640304
10000000,400,0.6,0.4,847.5321483669,172.1849486718,2.1063237482,0.7746353170
10000000,400,0.8,0.2,996.9087309289,79.4181256379,2.1723470409,0.3279233756
10000000,400,0.98,0.02,1110.4044520535,7.5162467464,2.5743971754,0.0298399609
1000000.095,240.,0.98,0.02,1557.5775656093,6.6293237078,11.3112532334,0.1190893251
1000000.095,240.,0.02,0.98,199.5544547595,880.2130335643,2.0886105684,3.8573498814
0.1,240.,0.98,0.02,0.0561098015,0.0000000000,0.0043635107,0.0000000000
0.1,240.,0.02,0.98,0.0012480904,0.0007619614,0.0009615747,0.0005183633
20000000.,240.,0.5,0.5,1017.3030158291,705.8663831590,5.7881706576,4.8726828437
0.1,240.,0.5,0.5,0.0291673291,0.0003809807,0.0045627629,0.0003393485
20000000.,240.,0.02,0.98,76.2371307218,1422.5046142531,1.4744629401,4.8157663865
20000000.,240.,0.98,0.02,1762.3349834997,40.9501247231,7.6960991398,0.7235761981
1000000.095,240.,0.5,0.5,1281.2762166123,202.1572361294,4.5571492768,3.2683673151
1000000.095,340.,0.788,0.212,742.5414847502,34.4401172395,1.7051847378,0.0901149236
1000000.095,340.,0.02,0.98,36.1784767240,237.3635574816,0.1350834935,0.5822256071
20000000.,340.,0.308,0.692,672.6549905120,589.9715560691,2.6690054026,3.1650682706
20000000.,340.,0.98,0.02,1360.4026493900,15.4204357356,2.8780884762,0.1554031120
0.1,340.,0.788,0.212,0.0006511776,0.0000173173,0.0007158019,0.0000692692
0.1,340.,0.02,0.98,0.0000271324,0.0000519519,0.0001085296,0.0002078076
1000000.095,360.,0.404,0.596,363.8008401606,94.1604157512,1.9151436507,0.4249469357
1000000.095,200.,0.212,0.788,1069.9672468224,687.5776996891,5.2101368908,2.4961476925
1000000.095,280.,0.692,0.308,1136.7377478095,75.1671085013,0.9929144304,0.7838895233
1000000.095,200.,0.98,0.02,1926.2785984584,16.8259600753,18.2152170209,0.6936383402
1000000.095,400.,0.98,0.02,464.1386229073,2.0168944380,1.0749479488,0.0251814322
1000000.095,280.,0.02,0.98,100.5766292567,522.6417744465,0.8646754919,1.6787058487
1000000.095,400.,0.02,0.98,15.5074413521,133.2371372168,0.1432658095,0.3008747000
0.1,340.,0.404,0.596,0.0003255888,0.0000346346,0.0002766973,0.0000848371
20000000.,360.,0.02,0.98,60.9254496297,966.1210786133,0.2633203799,2.8251663893
20000000.,260.,0.692,0.308,1250.5159986067,420.7355884025,4.7337250356,3.1151555064
3000000.085,220.,0.692,0.308,1320.7800130470,479.6517232712,5.9370429605,5.6013302826
1000000.095,400.,0.596,0.404,315.6396106643,43.5165318497,1.0623558041,0.1787721776
20000000.,260.,0.212,0.788,560.5049549894,991.6445333713,4.5182997384,0.7938335362
0.1,260.,0.212,0.788,0.0038528007,0.0003290288,0.0017717270,0.0003357950
1000000.095,320.,0.98,0.02,998.0823157229,3.3716098079,1.7799571831,0.0320551482
0.1,260.,0.692,0.308,0.0116940640,0.0000865865,0.0024292211,0.0001897016
20000000.,360.,0.692,0.308,1071.8623906401,212.9858501869,2.4886451681,1.3458797720
4000000.08,240.,0.212,0.788,908.5483287395,694.6178591155,2.5634960973,4.1542470444
1000000.095,200.,0.596,0.404,1569.7405317770,312.2264182700,6.5780615660,5.0468131179
1000000.095,280.,0.98,0.02,1267.1599076307,4.1788212965,2.4431355698,0.0253132310
0.1,220.,0.788,0.212,0.2079427073,0.0006061056,0.0154529911,0.0003948953
4000000.08,360.,0.98,0.02,1096.4420923049,5.4641115949,1.4372252051,0.0461973481
20000000.,220.,0.212,0.788,580.2512368001,1107.5941697282,3.5233801052,5.3478942187
0.1,360.,0.98,0.02,0.0002984564,0.0000000000,0.0004341184,0.0000000000
1000000.095,280.,0.308,0.692,809.1659591649,235.8287594680,1.0105432346,1.0600597601
0.1,220.,0.212,0.788,0.0561911987,0.0017836823,0.0068240007,0.0010875487
20000000.,220.,0.788,0.212,1478.5203204495,396.2912441222,2.6852544700,3.6544065028
3000000.085,220.,0.02,0.98,231.7966444081,1268.7048930207,4.2617552386,2.2126951909
1000000.095,320.,0.404,0.596,605.6507981708,135.8031979973,1.0242804678,0.8339812973
1000000.095,220.,0.308,0.692,1234.1879378415,413.0960597694,4.7961988688,4.3296897993
5000000.075,360.,0.212,0.788,464.5053986794,375.0819453909,1.2046030221,0.7675300785
5000000.075,260.,0.98,0.02,1567.2946002560,25.5063625791,7.0034328218,0.2770756205
